© 2000-2025 QIAGEN. All rights reserved.

Analysis	Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
Palbo14 vs Palbo3	RELA	 	transcription regulator	Activated	3.739	bias	4.47E-13	ADAMTS4,AFP,BMP2,CD28,CDKL3,CFB,CSF2,CXCL1,CXCL8,IGFBP2,IL1A,IL1B,MMP1,PI3,PTX3,SAA2,SERPINB2,SHBG,TNFAIP3,TNIP1,VCAM1	58 (15)
Palbo28 vs Palbo3	RELA	 	transcription regulator	Activated	3.751	bias	1.27E-11	ADAMTS4,AFP,BMP2,CD28,CDKL3,CSF2,CXCL1,CXCL8,EHF,IGFBP2,IL1A,IL1B,MMP1,NOX5,PI3,PTX3,SAA2,SERPINB2,TNFAIP3,TNIP1,TREM1,VCAM1	75 (17)
Palbo14 vs Palbo3	BTG2	 	transcription regulator	Inhibited	-2.801	 	1.05E-10	CSF2,CXCL1,CXCL8,IGFBP2,IL1A,IL1B,MMP1,NOX4	59 (20)
Palbo14 vs Palbo3	STAT3	 	transcription regulator	Activated	2.860	bias	1.07E-10	ALDH1A1,ALDH1A3,ARRDC4,BMP2,CFB,CP,CSF2,CSF3,CXCL8,ESR1,IL13RA2,IL1A,IL1B,LIF,MMP1,NOX4,PTX3,SAA1,SERPINA1,SERPINA3,SERPINB2,THBD,TNFRSF8	60 (15)
Palbo28 vs Cycling0	STAT3	 	transcription regulator	Activated	2.805	bias	1.15E-10	ALDH1A1,ALDH1A3,ARRDC4,BMP2,C5AR1,CCR7,CEACAM1,CFB,CP,CSF2,CSF3,CXCL8,ESR1,FLT1,GRIN2A,IKZF3,IL13RA2,IL1A,IL1B,LIF,MMP1,NOX4,NOX5,OAS2,PTX3,SAA1,SERPINA1,SERPINA3,SERPINB2,THBD,TLR4,TNFRSF8,VTCN1	93 (12)
Doxo21 vs Cycling0	RELA	 	transcription regulator	Activated	3.646	bias	1.53E-10	ADAMTS4,BMP2,CCR7,CD28,CDKL3,CFB,CSF2,CXCL1,CXCL8,EHF,IGFBP2,IL1A,IL1B,MMP1,MST1R,NOX5,PI3,PTX3,SAA2,SERPINB2,SHBG,TNFAIP3,TNIP1,TREM1,UGT1A1,VCAM1	101 (15)
Palbo14 vs Palbo3	NFKB1	 	transcription regulator	Activated	2.844	bias	2.49E-10	ADAMTS4,BMP2,CFB,CSF2,CSF3,CXCL1,CXCL8,IL1A,IL1B,PI3,PTGER3,PTX3,TNFAIP3,TNIP1,VCAM1	52 (16)
Doxo21 vs Cycling0	STAT3	 	transcription regulator	Activated	2.805	bias	3.54E-10	ALDH1A1,ALDH1A3,ARRDC4,BMP2,C5AR1,CCR7,CEACAM1,CFB,CP,CSF2,CSF3,CXCL8,ESR1,FLT1,GRIN2A,IKZF3,IL13RA2,IL1A,IL1B,LIF,MMP1,NOX4,NOX5,OAS2,PTX3,SAA1,SERPINA1,SERPINA3,SERPINB2,THBD,TLR4,TNFRSF8,VTCN1	97 (16)
Doxo3 vs Cycling0	STAT3	 	transcription regulator	Activated	2.447	bias	5.12E-10	ALDH1A1,ALDH1A3,ARRDC4,BMP2,C5AR1,CCR7,CEACAM1,CP,CSF2,CSF3,ESR1,FLT1,IKZF3,IL13RA2,IL1A,IL1B,KRT34,LIF,MMP1,NOX4,OAS2,PTX3,SAA1,SERPINA1,SERPINA3,TLR4,TNFRSF8,VTCN1	67 (14)
Doxo14 vs Cycling0	STAT3	 	transcription regulator	Activated	2.805	bias	5.82E-10	ALDH1A1,ALDH1A3,ARRDC4,BMP2,C5AR1,CCR7,CEACAM1,CFB,CP,CSF2,CSF3,CXCL8,ESR1,FLT1,GRIN2A,IKZF3,IL13RA2,IL1A,IL1B,LIF,MMP1,NOX4,OAS2,PTX3,SAA1,SERPINA1,SERPINA3,SERPINB2,THBD,TLR4,TNFRSF8,VTCN1	88 (12)
Palbo14 vs Palbo3	WWTR1	 	transcription regulator	 	-1.420	 	6.66E-10	BMP2,COL9A2,CORIN,CSF2,CSF3,CXCL1,CXCL8,ESR1,IL1A,IL1B,TNFRSF8,VCAM1	47 (12)
Palbo14 vs Palbo3	NFKBIE	 	transcription regulator	 	 	 	8.23E-10	CSF2,CSF3,CXCL8,LIF,VCAM1	45 (10)
