© 2000-2025 QIAGEN. All rights reserved.

Analysis	Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
Doxo21 vs Cycling0	E2F4	 	transcription regulator	 	0.971	 	1.48E-104	ANLN,ASF1B,AURKB,BARD1,BCL2,BLM,BRCA1,CCNA2,CCNB1,CCNB2,CCNE2,CDC25A,CDC25C,CDC45,CDC6,CDCA3,CDCA4,CDK1,CDK2,CDKN2C,CENPA,CENPE,CENPO,CKS1B,CKS2,DBF4,DDX11,DHFR,E2F1,E2F2,E2F8,ECT2,EXO1,FANCD2,FEN1,FOXM1,GINS1,GMNN,H2AX,H2AZ1,HMGB1,HMGB3,HMMR,INCENP,ITGB3BP,KIF22,KIF4A,MAD2L1,MCM10,MCM3,MCM4,MCM5,MCM6,MKI67,MYB,MYBL2,NDC80,NEK2,OIP5,ORC1,PCLAF,PCNA,PLK1,POLA1,POLA2,PRC1,PTTG1,RAD51,RAD51AP1,RAD54L,RANBP1,RBL1,RFC2,RFC3,RFC4,RRM1,RRM2,SMC2,SMC4,STMN1,TCF19,TK1,TMPO,TOP2A,TP73,TPX2,TTF2,TTK,TYMS,UBE2C,UBE2T,UHRF1,WDR76,ZWINT	202 (10)
Doxo21 vs Doxo3	E2F4	 	transcription regulator	 	0.971	 	5.34E-102	ANLN,ASF1B,AURKB,BARD1,BCL2,BLM,BRCA1,CCNA2,CCNB1,CCNB2,CCNE2,CDC25A,CDC25C,CDC45,CDC6,CDCA3,CDCA4,CDK1,CDK2,CDKN2C,CENPA,CENPE,CENPO,CKS1B,CKS2,DBF4,DDX11,DHFR,E2F1,E2F2,E2F8,EXO1,FANCD2,FEN1,FOXM1,GINS1,GMNN,H2AX,H2AZ1,HMGB1,HMGB3,HMMR,INCENP,ITGB3BP,KIF22,KIF4A,MAD2L1,MCM10,MCM3,MCM4,MCM5,MCM6,MKI67,MYBL2,NDC80,NEK2,OIP5,ORC1,PCLAF,PCNA,PLK1,POLA1,POLA2,PRC1,PTTG1,RAD51,RAD51AP1,RAD54L,RANBP1,RBL1,RFC2,RFC3,RFC4,RRM1,RRM2,SMC2,SMC4,STMN1,TCF19,TK1,TMPO,TOP2A,TP73,TPX2,TTK,TYMS,UBE2C,UBE2T,UHRF1,WDR76,ZWINT	191 (10)
Palbo3 vs Cycling0	E2F4	 	transcription regulator	 	0.971	 	4.46E-98	ANLN,ASF1B,AURKB,BARD1,BCL2,BLM,BRCA1,CCNA2,CCNB1,CCNB2,CCNE2,CDC25A,CDC25C,CDC45,CDC6,CDCA3,CDCA4,CDK1,CDK2,CDKN2C,CENPA,CENPE,CENPO,CKS1B,CKS2,DBF4,DDX11,DHFR,E2F1,E2F2,E2F8,ECT2,EXO1,FANCD2,FEN1,FOXM1,GINS1,GMNN,H2AX,H2AZ1,HMGB1,HMGB3,HMMR,INCENP,ITGB3BP,KIF22,KIF4A,MAD2L1,MCM10,MCM3,MCM4,MCM5,MCM6,MKI67,MYB,MYBL2,NDC80,NEK2,OIP5,ORC1,PCLAF,PCNA,PLK1,POLA1,POLA2,PRC1,PTTG1,RAD51,RAD51AP1,RAD54L,RANBP1,RBL1,RFC2,RFC3,RFC4,RRM1,RRM2,SMC2,SMC4,STMN1,TCF19,TK1,TMPO,TOP2A,TP73,TPX2,TTF2,TTK,TYMS,UBE2C,UBE2T,UHRF1,WDR76,ZWINT	213 (10)
Palbo28 vs Cycling0	E2F4	 	transcription regulator	 	0.971	 	9.06E-98	ANLN,ASF1B,AURKB,BARD1,BCL2,BLM,BRCA1,CCNA2,CCNB1,CCNB2,CCNE2,CDC25A,CDC25C,CDC45,CDC6,CDCA3,CDCA4,CDK1,CDK2,CDKN2C,CENPA,CENPE,CENPO,CKS1B,CKS2,DBF4,DDX11,DHFR,E2F1,E2F2,E2F8,ECT2,EXO1,FANCD2,FEN1,FOXM1,GINS1,GMNN,H2AX,H2AZ1,HMGB1,HMGB3,HMMR,INCENP,ITGB3BP,KIF22,KIF4A,MAD2L1,MCM10,MCM3,MCM4,MCM6,MKI67,MYB,MYBL2,NDC80,NEK2,OIP5,ORC1,PCLAF,PCNA,PLK1,POLA1,POLA2,PRC1,PTTG1,RAD51,RAD51AP1,RAD54L,RANBP1,RBL1,RFC2,RFC3,RFC4,RRM1,RRM2,SMC2,SMC4,STMN1,TCF19,TK1,TMPO,TOP2A,TP73,TPX2,TTF2,TTK,TYMS,UBE2C,UBE2T,UHRF1,WDR76,ZWINT	176 (10)
Palbo14 vs Cycling0	E2F4	 	transcription regulator	 	0.971	 	6.37E-97	ANLN,ASF1B,AURKB,BARD1,BCL2,BLM,BRCA1,CCNA2,CCNB1,CCNB2,CCNE2,CDC25A,CDC25C,CDC45,CDC6,CDCA3,CDCA4,CDK1,CDK2,CDKN2C,CENPA,CENPE,CENPO,CKS1B,CKS2,DBF4,DDX11,DHFR,E2F1,E2F2,E2F8,ECT2,EXO1,FANCD2,FEN1,FOXM1,GINS1,GMNN,H2AX,H2AZ1,HMGB1,HMGB3,HMMR,INCENP,ITGB3BP,KIF22,KIF4A,MAD2L1,MCM10,MCM3,MCM4,MCM5,MCM6,MKI67,MYB,MYBL2,NDC80,NEK2,OIP5,ORC1,PCLAF,PCNA,PLK1,POLA1,POLA2,PRC1,PTTG1,RAD51,RAD51AP1,RAD54L,RANBP1,RBL1,RFC2,RFC3,RFC4,RRM1,RRM2,SMC2,SMC4,STMN1,TCF19,TK1,TMPO,TOP2A,TP73,TPX2,TTF2,TTK,TYMS,UBE2C,UBE2T,UHRF1,WDR76,ZWINT	216 (10)
Doxo14 vs Cycling0	E2F4	 	transcription regulator	 	1.320	 	5.53E-88	ANLN,AURKB,BARD1,BRCA1,CCNA2,CCNB1,CCNB2,CDC25C,CDC45,CDCA3,CDCA4,CDK1,CDK2,CDKN2C,CENPA,CENPE,CENPO,CKS1B,CKS2,DBF4,DDX11,DHFR,E2F1,ECT2,FANCD2,FEN1,FOXM1,GINS1,GMNN,H2AX,H2AZ1,HMGB1,HMGB3,HMMR,INCENP,ITGB3BP,KIF22,KIF4A,MAD2L1,MCM10,MCM3,MCM4,MCM5,MCM6,MKI67,MYBL2,NDC80,NEK2,OIP5,ORC1,PCLAF,PLK1,POLA1,POLA2,PRC1,PTTG1,RAD54L,RANBP1,RBL1,RFC4,RRM2,SMC2,SMC4,STMN1,TCF19,TK1,TMPO,TOP2A,TPX2,TTF2,TTK,TYMS,UBE2C,UBE2T,UHRF1,WDR76,ZWINT	122 (7)
Doxo21 vs Cycling0	TBX3	 	transcription regulator	Inhibited	-8.146	bias	7.88E-79	ANLN,ASPM,AURKA,AURKB,BIRC5,BUB1,BUB1B,CCNA2,CCNB1,CCNB2,CCNE2,CCNF,CDC20,CDC25B,CDC45,CDC6,CDC7,CDCA2,CDCA3,CDCA8,CDK1,CDK2,CENPE,CEP55,CKS2,DHFR,E2F8,ECT2,ESPL1,FBXO5,FOXM1,GJC1,H2AX,IRS1,KIF11,KIF14,KIF15,KIF20A,KIF23,KIF2C,KIF4A,MAD2L1,MCM2,MCM3,MCM5,MCM7,MKI67,NCAPH,NEK2,NUF2,PBK,PCNA,PLK1,PLK4,PRC1,PTTG1,RAD51AP1,RBL1,RNASEH2A,RRM1,RRM2,SGO2,SLC8A1,SMC2,STMN1,TK1,TOP2A,TPX2,TRIP13,TTK,TYMS,UBE2C,ZWINT	 
Doxo21 vs Doxo3	TBX3	 	transcription regulator	Inhibited	-8.023	bias	1.88E-77	ANLN,ASPM,AURKA,AURKB,BIRC5,BUB1,BUB1B,CCNA2,CCNB1,CCNB2,CCNE2,CCNF,CDC20,CDC25B,CDC45,CDC6,CDC7,CDCA2,CDCA3,CDCA8,CDK1,CDK2,CENPE,CEP55,CKS2,DHFR,E2F8,ESPL1,FBXO5,FOXM1,H2AX,IRS1,KIF11,KIF14,KIF15,KIF20A,KIF23,KIF2C,KIF4A,MAD2L1,MCM2,MCM3,MCM5,MCM7,MKI67,NCAPH,NEK2,NUF2,PBK,PCNA,PLK1,PLK4,PRC1,PTTG1,RAD51AP1,RBL1,RNASEH2A,RRM1,RRM2,SGO2,SLC8A1,SMC2,STMN1,TK1,TOP2A,TPX2,TRIP13,TTK,TYMS,UBE2C,ZWINT	 
Palbo3 vs Cycling0	TBX3	 	transcription regulator	Inhibited	-8.146	bias	5.83E-74	ANLN,ASPM,AURKA,AURKB,BIRC5,BUB1,BUB1B,CCNA2,CCNB1,CCNB2,CCNE2,CCNF,CDC20,CDC25B,CDC45,CDC6,CDC7,CDCA2,CDCA3,CDCA8,CDK1,CDK2,CENPE,CEP55,CKS2,DHFR,E2F8,ECT2,ESPL1,FBXO5,FOSL1,FOXM1,H2AX,IRS1,KIF11,KIF14,KIF15,KIF20A,KIF23,KIF2C,KIF4A,MAD2L1,MCM2,MCM3,MCM5,MCM7,MKI67,NCAPH,NEK2,NUF2,PBK,PCNA,PLK1,PLK4,PRC1,PTTG1,RAD51AP1,RBL1,RNASEH2A,RRM1,RRM2,SGO2,SLC8A1,SMC2,STMN1,TK1,TOP2A,TPX2,TRIP13,TTK,TYMS,UBE2C,ZWINT	 
Palbo14 vs Cycling0	TBX3	 	transcription regulator	Inhibited	-8.146	bias	4.33E-73	ANLN,ASPM,AURKA,AURKB,BIRC5,BUB1,BUB1B,CCNA2,CCNB1,CCNB2,CCNE2,CCNF,CDC20,CDC25B,CDC45,CDC6,CDC7,CDCA2,CDCA3,CDCA8,CDK1,CDK2,CENPE,CEP55,CKS2,DHFR,E2F8,ECT2,ESPL1,FBXO5,FOSL1,FOXM1,GJC1,H2AX,KIF11,KIF14,KIF15,KIF20A,KIF23,KIF2C,KIF4A,MAD2L1,MCM2,MCM3,MCM5,MCM7,MKI67,NCAPH,NEK2,NUF2,PBK,PCNA,PLK1,PLK4,PRC1,PTTG1,RAD51AP1,RBL1,RNASEH2A,RRM1,RRM2,SGO2,SLC8A1,SMC2,STMN1,TK1,TOP2A,TPX2,TRIP13,TTK,TYMS,UBE2C,ZWINT	 
Palbo28 vs Cycling0	TBX3	 	transcription regulator	Inhibited	-8.023	bias	7.38E-72	ANLN,ASPM,AURKA,AURKB,BIRC5,BUB1,BUB1B,CCNA2,CCNB1,CCNB2,CCNE2,CCNF,CDC20,CDC25B,CDC45,CDC6,CDC7,CDCA2,CDCA3,CDCA8,CDK1,CDK2,CENPE,CEP55,CKS2,DHFR,E2F8,ECT2,ESPL1,FBXO5,FOXM1,GJC1,H2AX,KIF11,KIF14,KIF15,KIF20A,KIF23,KIF2C,KIF4A,MAD2L1,MCM2,MCM3,MCM7,MKI67,NCAPH,NEK2,NUF2,PBK,PCNA,PLK1,PLK4,PRC1,PTTG1,RAD51AP1,RBL1,RNASEH2A,RRM1,RRM2,SGO2,SLC8A1,SMC2,STMN1,TK1,TOP2A,TPX2,TRIP13,TTK,TYMS,UBE2C,ZWINT	 
Doxo14 vs Cycling0	TBX3	 	transcription regulator	Inhibited	-7.924	bias	1.12E-71	ANLN,ASPM,AURKA,AURKB,BIRC5,BUB1,BUB1B,CCNA2,CCNB1,CCNB2,CCNF,CDC20,CDC25B,CDC45,CDCA2,CDCA3,CDCA8,CDK1,CDK2,CENPE,CEP55,CKS2,DHFR,ECT2,ESPL1,FOXM1,H2AX,KIF11,KIF14,KIF15,KIF20A,KIF23,KIF2C,KIF4A,MAD2L1,MCM2,MCM3,MCM5,MCM7,MKI67,NCAPH,NEK2,NUF2,PBK,PLK1,PLK4,PRC1,PTTG1,RBL1,RNASEH2A,RRM2,SGO2,SLC8A1,SMC2,STMN1,TK1,TOP2A,TPX2,TRIP13,TTK,TYMS,UBE2C,ZWINT	 
Doxo21 vs Cycling0	CEBPB	 	transcription regulator	Inhibited	-8.718	bias	1.83E-67	ASF1B,ATAD2,AURKA,AURKB,BARD1,BCL2,BIRC5,BRCA1,BUB1B,CCNA2,CCNB2,CDC20,CDC25A,CDC25B,CDC25C,CDC45,CDC6,CDCA3,CDCA8,CDK1,CDKN2C,CDKN3,CDT1,CENPE,CENPM,CIT,CSF1R,CYP24A1,DDX39A,DEK,DEPDC1,DHFR,DIAPH3,DLGAP5,DSCC1,E2F1,E2F8,ESPL1,EZH2,GINS1,GINS4,H2AX,HELLS,HMGB2,HMMR,IRS1,JPT1,KIF18B,KIF22,KIF2C,KIF4A,KPNA2,LIG1,LMNB1,MCM2,MCM3,MCM4,MCM5,MCM6,MCM7,MELK,MKI67,MMS22L,MXD3,MYBL2,NCAPD2,ODC1,PCNA,PLK1,POLA2,PSMC3IP,PTHLH,RACGAP1,RAD51AP1,RANBP1,RFC2,RFC3,RNASEH2A,RRM2,SHMT1,SMC4,SPAG5,SPC24,SPC25,STMN1,SUV39H1,TACC3,TCF19,TIMELESS,TK1,TMPO,TOP2A,TRIP13,UBE2S,USP1	245 (17)
Doxo21 vs Doxo3	CEBPB	 	transcription regulator	Inhibited	-8.693	bias	4.41E-65	ASF1B,ATAD2,AURKA,AURKB,BARD1,BCL2,BIRC5,BRCA1,BRCA2,BUB1B,CCNA2,CCNB2,CDC20,CDC25A,CDC25B,CDC25C,CDC45,CDC6,CDCA3,CDCA8,CDK1,CDKN2C,CDKN3,CDT1,CENPE,CENPM,CIT,CYP24A1,DEK,DEPDC1,DHFR,DLGAP5,DSCC1,E2F1,E2F8,ESPL1,EZH2,GINS1,GINS4,H2AX,HELLS,HMGB2,HMMR,IRS1,JPT1,KIF18B,KIF22,KIF2C,KIF4A,LIG1,LMNB1,MCM2,MCM3,MCM4,MCM5,MCM6,MCM7,MELK,MKI67,MXD3,MYBL2,NCAPD2,ODC1,PCNA,PLK1,POLA2,PSMC3IP,PTHLH,RACGAP1,RAD51AP1,RANBP1,RFC2,RFC3,RNASEH2A,RRM2,SHMT1,SMC4,SPAG5,SPC24,SPC25,STMN1,SUV39H1,TACC3,TCF19,TIMELESS,TK1,TMPO,TOP2A,TRIP13,UBE2S,USP1	222 (17)
Palbo3 vs Cycling0	CEBPB	 	transcription regulator	Inhibited	-8.886	bias	1.33E-64	ASF1B,ATAD2,AURKA,AURKB,BARD1,BCL2,BIRC5,BRCA1,BRCA2,BUB1B,CCNA2,CCNB2,CDC20,CDC25A,CDC25B,CDC25C,CDC45,CDC6,CDCA3,CDCA8,CDK1,CDKN2C,CDKN3,CDT1,CENPE,CENPM,CIT,CSF1R,CYP24A1,DDX39A,DEK,DEPDC1,DHFR,DIAPH3,DLGAP5,DSCC1,E2F1,E2F8,ESPL1,EZH2,GINS1,GINS4,H2AX,HELLS,HMGB2,HMMR,IRS1,JPT1,KIF18B,KIF22,KIF2C,KIF4A,KPNA2,LIG1,LMNB1,MCM2,MCM3,MCM4,MCM5,MCM6,MCM7,MELK,MKI67,MMS22L,MXD3,MYBL2,NCAPD2,NRG1,ODC1,PCNA,PLK1,POLA2,PSMC3IP,PTHLH,RACGAP1,RAD51AP1,RANBP1,RFC2,RFC3,RNASEH2A,RRM2,SHMT1,SMC4,SPAG5,SPC24,SPC25,STMN1,SUV39H1,TACC3,TCF19,TIMELESS,TK1,TMPO,TOP2A,TRIP13,UBE2S,USP1,WT1	246 (19)
