© 2000-2025 QIAGEN. All rights reserved.

Analysis	Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
Doxo14 vs Cycling0	TP53	 	transcription regulator	Activated	5.272	 	5.65E-07	ACER2,ACSS1,ADORA2B,AEN,AREG,ATF3,BMX,BTG2,BTK,CDH3,CDKN1A,CEL,DDIT3,DINOL,DNAI3,EDA2R,EDNRA,FDXR,FXYD3,GDF15,GPR87,HGF,IFI30,INHBA,INKA2,INSYN2A,IRAG2,KITLG,LOC124900602,MYH16,NINJ2,NPFFR2,PDE2A,PMAIP1,PPARGC1A,PRAG1,PRDM1,PTCHD4,PTPRU,RND3,SHROOM3,SPATA18,ST14,STOM,TFPI2,THBS4,TNFRSF1B,TTN,TYMSOS,UPP1,VWCE,WNT2,WNT9A,ZNF79	113 (15)
Doxo21 vs Doxo3	TP63	 	transcription regulator	 	-0.973	 	8.44E-07	APOBEC3H,CAPN6,CDH3,CSTA,FZD8,INHBA,JAG1,PPARGC1A,PTPRU,RASGRF1,SFN,SPATA18,SPINK4,ST8SIA6	 
Doxo3 vs Cycling0	TP53	 	transcription regulator	Activated	5.327	 	1.84E-06	ACER2,ACSS1,ADORA2B,AEN,ATF3,BMX,BTG2,BTK,CDH3,CDKN1A,CEL,COL7A1,DDB2,DDIT3,DINOL,DNAI3,EDA2R,EDNRA,FDXR,FXYD3,GDF15,GPR87,HGF,IFI30,INHBA,INKA2,INSYN2A,IRAG2,JAG1,LOC124900602,MMP23B,MYH16,NINJ2,NPFFR2,PDE2A,PMAIP1,PPARGC1A,PRAG1,PRDM1,PTCHD4,PTPRU,RND3,SFN,SHROOM3,SPATA18,ST14,STOM,THBS4,TNFRSF1B,TTN,TYMSOS,UPP1,VWCE,WNT2,WNT9A,ZNF79	91 (10)
Palbo28 vs Cycling0	PPRC1	 	transcription regulator	 	0.816	 	2.07E-06	GDF15,MYCT1,RND3,SPINK1,SUN3,VIP	 
Doxo14 vs Cycling0	BHLHE40	 	transcription regulator	 	1.411	bias	4.63E-06	ADORA2B,ATF3,CYBB,CYP11A1,CYP3A4,DDIT3,EOMES,GCH1,INHBA,IPCEF1,LY75,NR1I2,PLAC8,RND3,UPP1	110 (14)
Doxo21 vs Cycling0	PPRC1	 	transcription regulator	Activated	2.449	bias	5.62E-06	GDF15,MYCT1,RND3,SPINK1,SUN3,VIP	 
Doxo21 vs Cycling0	BHLHE40	 	transcription regulator	Activated	2.159	bias	7.50E-06	ADORA2B,ATF3,CYBB,CYP11A1,CYP3A4,DDIT3,GCH1,INHBA,IPCEF1,LY75,NR1I2,PLAC8,RND3,UPP1	109 (16)
Doxo14 vs Cycling0	PPRC1	 	transcription regulator	Activated	2.449	bias	9.44E-06	GDF15,MYCT1,RND3,SPINK1,SUN3,VIP	 
Palbo28 vs Palbo3	NCOA1	 	transcription regulator	 	0.555	 	1.41E-05	ADIPOQ,BTG2,CDKN1A,CYP11A1,EOMES,INSM2,NR1I3,PRLR	20 (5)
Doxo3 vs Cycling0	PPRC1	 	transcription regulator	Activated	2.449	bias	1.54E-05	GDF15,MYCT1,RND3,SPINK1,SUN3,VIP	 
Palbo28 vs Palbo3	PPRC1	 	transcription regulator	 	1.342	 	1.78E-05	GDF15,RND3,SPINK1,SUN3,VIP	 
