© 2000-2025 QIAGEN. All rights reserved.

Analysis	Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
Palbo28 vs Cycling0	HIF1A	 	transcription regulator	Activated	4.108	bias	1.15E-15	AK4,APLN,BHLHE41,CA9,CCL5,CEMIP,COL1A2,DDIT4,EFNA3,FHL1,FN1,FSCN1,FUT11,HIF1A-AS3,HOXA13,NRN1,P4HA1,PDK1,PPFIA4,PRKN,PTGS2,RAB20,SERPINE1,SLC16A4,TMEM45A,TNFRSF11B,TNFSF10,WNT10B	65 (19)
Palbo14 vs Cycling0	HIF1A	 	transcription regulator	Activated	4.794	bias	3.37E-14	AK4,APLN,CA9,CCL5,CEBPD,CEMIP,COL1A2,COL3A1,COL5A1,DDIT4,EFNA3,EGLN3,FN1,FSCN1,FUT11,HIF1A-AS3,HILPDA,KRT18,LOXL1,MUC1,NRN1,P4HA1,PDK1,PPFIA4,PTGS2,RAB20,SERPINE1,SLC16A4,SNAI1,TMEM45A,TNFRSF11B,TNFSF10	95 (18)
Doxo14 vs Cycling0	ARID1A	 	transcription regulator	 	-1.960	 	3.75E-14	APLN,C4A,CA9,CCDC80,CCN5,COL1A1,COL1A2,COL5A1,DPYSL3,EDIL3,FBN1,GAS1,NNMT,PDGFRB,PLXND1,PTGFRN,S100A4,SMAD6,SNAI1,TAGLN,THBS1,THBS2,TNFRSF11B,VASN,ZFP36	94 (21)
Palbo14 vs Palbo3	HIF1A	 	transcription regulator	Activated	3.054	bias	2.35E-13	AK4,APLN,CA9,CCL5,EFNA3,EGLN3,FN1,FSCN1,HIF1A-AS3,LDHA,MUC1,P4HA1,PDK1,PPFIA4,PRKN,PTGS2,RAB20,TGFB3,TMEM45A,TNFRSF11B,WNT10B	50 (19)
Palbo14 vs Cycling0	ARID1A	 	transcription regulator	Activated	3.078	 	2.51E-13	APLN,BDKRB2,C4A,CA9,CCN4,CCN5,COL1A2,COL5A1,EDIL3,FN1,FSCN1,HAS1,HTRA1,ITGB8,KRT18,NNMT,P3H3,P4HA1,PIK3IP1,SNAI1,SOD3,SPRY1,TAGLN,THBS2,TIMP3,TNC,TNFRSF11B,VASN	117 (20)
Palbo28 vs Palbo3	HIF1A	 	transcription regulator	Activated	2.299	 	5.35E-12	AK4,APLN,CA9,CEMIP,COL1A1,EFNA3,EGLN3,FSCN1,HIF1A-AS3,HOXA13,LDHA,NRN1,PDK1,PPFIA4,PRKN,RAB20,TGFB3,TNFRSF11B,TNFSF10	43 (12)
Palbo14 vs Palbo3	ARID1A	 	transcription regulator	 	1.906	 	5.96E-12	APLN,BDKRB2,CA9,CCN4,CCN5,FN1,FSCN1,HAS1,HTRA1,P4HA1,SMAD6,SOD3,SPRY1,TGFB3,TIMP3,TNC,TNFRSF11B,WNT2B	42 (8)
Palbo14 vs Cycling0	NOTCH3	 	transcription regulator	 	-0.457	bias	8.71E-12	CDH11,COL1A2,COL3A1,COL5A1,COL6A1,COL6A2,DCN,FN1,GPC6,ITGA11,SGCD,SOD3,SPARC,STAT5A,TAGLN,TIMP3	 
Doxo14 vs Cycling0	RUNX2	 	transcription regulator	 	-1.242	bias	2.71E-11	C4A,COL1A1,COL1A2,COL3A1,DPYSL3,LUM,PCDH18,PDGFRB,SMAD6,SNAI1,TAGLN,TNFRSF11B,WNT10B	82 (17)
Doxo21 vs Cycling0	ARID1A	 	transcription regulator	 	-1.200	 	6.71E-11	APLN,C4A,CA9,CCDC80,COL1A1,DPYSL3,EDIL3,FHL1,GAS1,HAS1,NNMT,PDGFRB,PLXND1,PTGFRN,SNAI1,TAGLN,THBS1,TNFRSF11B,ZFP36	85 (20)
Palbo14 vs Cycling0	HMG20A	 	transcription regulator	Activated	3.053	bias	8.70E-11	CCL5,DCN,IGFBP4,KRT18,NNMT,SERPINE1,SGCD,SLIT3,SNAI1,TAGLN,TIMP3,TNFRSF11B,VCAN	74 (7)
Palbo14 vs Cycling0	MRTFA	 	transcription regulator	Activated	3.756	bias	1.16E-10	ACTC1,ACTG2,CCL5,CCN5,COL3A1,COL5A2,FN1,ITGA11,LOXL1,MAP2,PTGS2,SERPINE1,SLIT3,TAGLN,TNC,TPM2,WTIP	102 (18)
Palbo28 vs Cycling0	ARID1A	 	transcription regulator	Activated	2.368	 	1.82E-10	APLN,BDKRB2,C4A,CA9,CCN5,COL1A2,FHL1,FN1,FSCN1,HAS1,HTRA1,ITGB8,P3H3,P4HA1,PIK3IP1,SMAD6,SPRY1,TIMP3,TNC,TNFRSF11B	57 (7)
